dataset_name;letter;complexity_type;encoding_type;weighted_values;prefix_length;precision;fscore
bpic2015_4_f2;N;complex;weighted_edit_distance;50% 50% 0%;6.0;0.8604651162790697;0.925
bpic2015_4_f2;N;complex;weighted_edit_distance;50% 50% 0%;7.0;0.8604651162790697;0.925
bpic2015_4_f2;N;complex;weighted_edit_distance;50% 50% 0%;8.0;0.8604651162790697;0.925
bpic2015_4_f2;N;complex;weighted_edit_distance;50% 50% 0%;9.0;0.8604651162790697;0.925
bpic2015_4_f2;N;complex;weighted_edit_distance;50% 50% 0%;10.0;0.8588235294117647;0.9240506329113924
bpic2015_4_f2;N;complex;weighted_edit_distance;50% 50% 0%;11.0;0.8588235294117647;0.9240506329113924
bpic2015_4_f2;N;complex;weighted_edit_distance;50% 50% 0%;12.0;0.8588235294117647;0.9240506329113924
bpic2015_4_f2;N;complex;weighted_edit_distance;50% 50% 0%;13.0;0.8588235294117647;0.9240506329113924
bpic2015_4_f2;N;complex;weighted_edit_distance;50% 50% 0%;14.0;0.85;0.9189189189189187
bpic2015_4_f2;N;complex;weighted_edit_distance;50% 50% 0%;15.0;0.85;0.9189189189189187
bpic2015_4_f2;N;complex;weighted_edit_distance;50% 50% 0%;16.0;0.8481012658227848;0.917808219178082
bpic2015_4_f2;N;complex;weighted_edit_distance;50% 50% 0%;17.0;0.8481012658227848;0.917808219178082
bpic2015_4_f2;N;complex;weighted_edit_distance;50% 50% 0%;18.0;0.8441558441558441;0.9154929577464788
bpic2015_4_f2;N;complex;weighted_edit_distance;50% 50% 0%;19.0;0.8441558441558441;0.9154929577464788
bpic2015_4_f2;N;complex;weighted_edit_distance;50% 50% 0%;20.0;0.8378378378378378;0.911764705882353
bpic2015_4_f2;N;complex;weighted_edit_distance;50% 50% 0%;21.0;0.8285714285714286;0.90625
bpic2015_4_f2;N;complex;weighted_edit_distance;50% 50% 0%;22.0;0.8235294117647058;0.9032258064516128
bpic2015_4_f2;N;complex;weighted_edit_distance;50% 50% 0%;23.0;0.8208955223880597;0.9016393442622952
bpic2015_4_f2;N;complex;weighted_edit_distance;50% 50% 0%;24.0;0.8153846153846154;0.8983050847457628
bpic2015_4_f2;N;complex;weighted_edit_distance;50% 50% 0%;25.0;0.8125;0.896551724137931
bpic2015_4_f2;N;complex;weighted_edit_distance;50% 50% 0%;26.0;0.8064516129032258;0.8928571428571428
bpic2015_4_f2;N;complex;weighted_edit_distance;50% 50% 0%;27.0;0.8064516129032258;0.8928571428571428
bpic2015_4_f2;N;complex;weighted_edit_distance;50% 50% 0%;28.0;0.819672131147541;0.9009009009009008
